"app","bc","ug"
39646,"EN_3.1","NA_BG"
40384,"CS_03.1.5","NA_BG"
40446,"CS_03.8.4","NA_BG"
40604,"EN_1.2","NA_BG"
40648,"CS_03.5.1","NA_BG"
40648,"CS_03.5.3","NA_BG"
40648,"EN_3.1","NA_BG"
40661,"CS_03.1.4","NA_BG"
40661,"CS_03.1.9","NA_BG"
40661,"CS_03.2.6","NA_BG"
40808,"EN_1.3","NA_BG"
40808,"EN_1.4","NA_BG"
40808,"EN_5.6","NA_BG"
41227,"EN_1.3","NA_BG"
41227,"EN_1.4","NA_BG"
41229,"EN_4.1","NA_BG"
41229,"EN_5.7","NA_BG"
41612,"EN_5.4","NA_BG"
42709,"CO_02.2","NA_BG"
42709,"CO_02.3","NA_BG"
42876,"CS_03.1.2","NA_BG"
42876,"CS_03.1.3","NA_BG"
42876,"CS_03.1.4","NA_BG"
42876,"CS_03.1.5","NA_BG"
42879,"CS_03.1.2","NA_BG"
42879,"CS_03.1.3","NA_BG"
42879,"CS_03.1.4","NA_BG"
42879,"CS_03.1.5","NA_BG"
43483,"CO_6.3.3","NA_BG"
43485,"CS_03.1.9","NA_BG"
43485,"CS_03.2.6","NA_BG"
43485,"CS_03.3.1","NA_BG"
43485,"CS_03.3.6","NA_BG"
45069,"CO_01.8.4","NA_BG"
45069,"EN_5.7","NA_BG"
45098,"CO_06.5","NA_BG"
45119,"CO_06.2","NA_BG"
45942,"CS_03.9.5","NA_BG"
45942,"CS_03.9.6","NA_BG"
45942,"EN_1.4","NA_BG"
45942,"EN_1.5","NA_BG"
45942,"EN_1.6","NA_BG"
45942,"EN_5.7","NA_BG"
45953,"CO_06.4","NA_BG"
45953,"EN_1.3","NA_BG"
45953,"EN_1.6","NA_BG"
46017,"EN_2.2","NA_BG"
46333,"CS_03.8.1","NA_BG"
46333,"CS_03.8.2","NA_BG"
46333,"CS_03.8.7","NA_BG"
46703,"CO_09.1","NA_BG"
46703,"EN_5.5","NA_BG"
47111,"CO_08.4","NA_BG"
47151,"CO_08.6","NA_BG"
47461,"CS_03.5.4","NA_BG"
47521,"CS_03.8.4","NA_BG"
47523,"CS_03.8.4","NA_BG"
47534,"CS_03.5.1","NA_BG"
47534,"EN_3.1","NA_BG"
48073,"EN_5.5","NA_BG"
48095,"EN_3.4","NA_BG"
48704,"CO_01.8.4","NA_BG"
48704,"CO_03.3","NA_BG"
48704,"CO_09.1","NA_BG"
50121,"EN_3.4","NA_BG"
50121,"EN_4.2","NA_BG"
50749,"CS_03.1.6","NA_BG"
50749,"CS_03.9.1","NA_BG"
50749,"CS_03.9.2","NA_BG"
50749,"CS_03.9.7","NA_BG"
50751,"CS_03.1.3","NA_BG"
50751,"CS_03.1.6","NA_BG"
50751,"CS_03.1.8","NA_BG"
50751,"CS_03.2.1","NA_BG"
50751,"CS_03.2.5","NA_BG"
50751,"CS_03.6.7","NA_BG"
50751,"EN_6.4","NA_BG"
50814,"EN_3.1","NA_BG"
50824,"EN_5.5","NA_BG"
50840,"CO_08.9.1","NA_BG"
51047,"CO_08.8","NA_BG"
51099,"CS_03.8.4","NA_BG"
51161,"CO_07.3","NA_BG"
51161,"CS_03.3.6","NA_BG"
51161,"CS_03.4.1","NA_BG"
51161,"CS_03.4.2","NA_BG"
51161,"CS_03.4.3","NA_BG"
51161,"CS_03.5.1","NA_BG"
51161,"CS_03.5.2","NA_BG"
51163,"CS_03.2.5","NA_BG"
51163,"CS_03.3.6","NA_BG"
51163,"CS_03.4.4","NA_BG"
51194,"CS_03.4.4","NA_BG"
51194,"CS_03.6.7","NA_BG"
51200,"EN_5.7","NA_BG"
51204,"EN_3.5","NA_BG"
51342,"EN_3.1","NA_BG"
51342,"EN_4.1","NA_BG"
51366,"EN_5.5","NA_BG"
51579,"CS_03.1.4","NA_BG"
51579,"CS_03.8.4","NA_BG"
51863,"CO_04.2","NA_BG"
51935,"CS_03.1.5","NA_BG"
51935,"EN_3.2","NA_BG"
52557,"CS_03.2.5","NA_BG"
